id,lightspeed_id,collection,customerID,subtotal,discount,salesTax,salesTaxPercent,total,amountCaptured,paymentComplete,depositType,workorderIDs,transactionIDs,depositsApplied,millis,_importSource
2200000000163,16,completed-sales,2000000000084,0,0,0,0,0,0,true,,2500000000089,,,1669762802000,lightspeed
2200000000170,17,completed-sales,2000000000060,0,0,0,0,0,0,true,,,,,1670001710000,lightspeed
2200000000187,18,completed-sales,2000000000060,0,0,0,0,0,0,true,,,,,1670001750000,lightspeed
2200000000194,19,completed-sales,2000000000060,0,0,0,0,0,0,true,,2500000000065,,,1670001779000,lightspeed
2200000000200,20,completed-sales,2000000000077,0,0,0,0,0,0,true,,2500000000072,,,1670001805000,lightspeed
2200000000217,21,completed-sales,2000000000213,0,0,0,0,0,0,true,,2500000000218,,,1670001901000,lightspeed
2200000000224,22,completed-sales,2000000000107,0,0,0,0,0,0,true,,2500000000102,,,1670002948000,lightspeed
2200000000231,23,completed-sales,2000000000114,0,0,0,0,0,0,true,,2500000000119,,,1670004865000,lightspeed
2200000000248,24,completed-sales,2000000000268,0,0,0,0,0,0,true,,2500000000263,,,1670160499000,lightspeed
2200000000255,25,completed-sales,2000000000343,0,0,0,0,0,0,true,,2500000000355,,,1670175119000,lightspeed
2200000000262,26,completed-sales,2000000000237,0,0,0,0,0,0,true,,2500000000232,,,1670182556000,lightspeed
2200000000279,27,completed-sales,2000000000299,0,0,0,0,0,0,true,,2500000000300,,,1670182575000,lightspeed
2200000000286,28,completed-sales,2000000000275,0,0,0,0,0,0,true,,2500000000287,,,1670182592000,lightspeed
2200000000293,29,completed-sales,2000000000329,0,0,0,0,0,0,true,,2500000000331,,,1670182624000,lightspeed
2200000000309,30,completed-sales,2000000000411,0,0,0,0,0,0,true,,2500000000430,,,1670343763000,lightspeed
2200000000316,31,completed-sales,2000000000152,0,0,0,0,0,0,true,,2500000000157,,,1670347221000,lightspeed
2200000000323,32,completed-sales,2000000000183,0,0,0,0,0,0,true,,,,,1670347276000,lightspeed
2200000000330,33,completed-sales,2000000000183,0,0,0,0,0,0,true,,2500000000188,,,1670347296000,lightspeed
2200000000347,34,completed-sales,2000000000374,0,0,0,0,0,0,true,,2500000000386,,,1670347316000,lightspeed
2200000000378,37,completed-sales,2000000000244,0,0,0,0,0,0,true,,2500000000249,,,1670508145000,lightspeed
2200000000385,38,completed-sales,2000000000473,0,0,0,0,0,0,true,,2500000000492,,,1670508167000,lightspeed
2200000000392,39,completed-sales,2000000000428,0,0,0,0,0,0,true,,2500000000447,,,1670508199000,lightspeed
2200000000408,40,completed-sales,2000000000404,0,0,0,0,0,0,true,,2500000000423,,,1670508216000,lightspeed
2200000000415,41,completed-sales,2000000000350,0,0,0,0,0,0,true,,2500000000362,,,1670542837000,lightspeed
2200000000422,42,completed-sales,2000000000459,0,0,0,0,0,0,true,,2500000000478,,,1670542853000,lightspeed
2200000000439,43,completed-sales,2000000000619,0,0,0,0,0,0,true,,2500000000652,,,1670542868000,lightspeed
2200000000446,44,completed-sales,2000000000466,0,0,0,0,0,0,true,,2500000000485,,,1670542954000,lightspeed
2200000000453,45,completed-sales,2000000000435,0,0,0,0,0,0,true,,,,,1670618479000,lightspeed
2200000000460,46,completed-sales,2000000000541,0,0,0,0,0,0,true,,2500000000577,,,1670675426000,lightspeed
2200000000477,47,completed-sales,2000000000336,0,0,0,0,0,0,true,,2500000000348,,,1670676371000,lightspeed
2200000000484,48,completed-sales,2000000000503,0,0,0,0,0,0,true,,2500000000522,,,1670698800000,lightspeed
2200000000491,49,completed-sales,2000000000206,0,0,0,0,0,0,true,,2500000000201,,,1670855034000,lightspeed
2200000000507,50,completed-sales,2000000000206,0,0,0,0,0,0,true,,2500000000560,,,1670855058000,lightspeed
2200000000514,51,completed-sales,2000000000251,0,0,0,0,0,0,true,,,,,1670855088000,lightspeed
2200000000521,52,completed-sales,2000000000251,0,0,0,0,0,0,true,,2500000000256,,,1670855104000,lightspeed
2200000000538,53,completed-sales,2000000000336,0,0,0,0,0,0,true,,2500000000782,,,1670855132000,lightspeed
2200000000545,54,completed-sales,2000000000305,0,0,0,0,0,0,true,,2500000000317,,,1670855201000,lightspeed
2200000000552,55,completed-sales,2000000000640,0,0,0,0,0,0,true,,,,,1670855397000,lightspeed
2200000000569,56,completed-sales,2000000000435,0,0,0,0,0,0,true,,2500000000454,,,1670855415000,lightspeed
2200000000576,57,completed-sales,2000000000480,0,0,0,0,0,0,true,,2500000000508,,,1670855442000,lightspeed
2200000000583,58,completed-sales,2000000000640,0,0,0,0,0,0,true,,2500000000683,,,1670855469000,lightspeed
2200000000606,60,completed-sales,2000000000671,0,0,0,0,0,0,true,,2500000000713,,,1670863989000,lightspeed
2200000000613,61,completed-sales,2000000000534,0,0,0,0,0,0,true,,2500000000553,,,1670941837000,lightspeed
2200000000620,62,completed-sales,2000000000497,0,0,0,0,0,0,true,,2500000000515,,,1670954273000,lightspeed
2200000000637,63,completed-sales,2000000000442,0,0,0,0,0,0,true,,2500000000461,,,1671021702000,lightspeed
2200000000644,64,completed-sales,2000000000695,0,0,0,0,0,0,true,,2500000000751,,,1671021717000,lightspeed
2200000000651,65,completed-sales,2000000000510,0,0,0,0,0,0,true,,2500000000539,,,1671021751000,lightspeed
2200000000668,66,completed-sales,2000000000145,0,0,0,0,0,0,true,,2500000000140,,,1671056316000,lightspeed
