"workorderItemID","workorderID","itemID","unitQuantity","unitPrice","unitCost","note","tax","approved","warranty","isSpecialOrder","saleLineID","saleID","employeeID","discountID","timeStamp"
"3","2","5","1","45","","","true","false","false","false","6","0","1","0","2022-11-25T00:46:15+00:00"
"4","12","6","1","9.39","","","true","false","false","false","29","107","1","0","2022-12-23T20:29:10+00:00"
"5","12","16","1","10.33","","","true","false","false","false","30","107","1","0","2022-12-23T20:29:10+00:00"
"6","530","6","1","11.27","","","true","false","false","false","551","275","1","0","2023-02-25T17:45:50+00:00"
"12","648","122","1","50","","","true","false","false","false","680","390","5","0","2023-03-21T18:10:34+00:00"
"13","648","140","1","2","","","true","false","false","false","681","390","5","0","2023-03-21T18:10:34+00:00"
"14","635","118","1","80","","","true","false","false","false","684","384","5","0","2023-03-21T14:22:11+00:00"
"15","644","139","1","3","","","true","false","false","false","691","398","4","0","2023-03-21T20:43:01+00:00"
"16","644","107","1","50","","","true","false","false","false","692","398","4","0","2023-03-21T20:43:01+00:00"
"17","653","139","1","3","","","true","false","false","false","693","398","4","0","2023-03-21T20:43:06+00:00"
"18","653","108","1","60","","","false","false","false","false","694","398","4","0","2023-03-21T20:43:06+00:00"
"19","625","112","1","18","","","true","false","false","false","696","388","5","0","2023-03-21T17:00:17+00:00"
"20","625","141","2","10","","","true","false","false","false","697","388","5","0","2023-03-21T17:00:17+00:00"
"21","625","111","1","100","","","false","false","false","false","698","388","5","0","2023-03-21T17:00:17+00:00"
"22","625","137","1","40","","","true","false","false","false","700","388","5","0","2023-03-21T17:00:17+00:00"
"23","549","6","1","13.15","","","true","false","false","false","705","422","5","0","2023-03-23T17:05:51+00:00"
"24","549","16","1","10.33","","","true","false","false","false","706","422","5","0","2023-03-23T17:05:51+00:00"
"25","661","9","1","60","","","true","false","false","false","708","0","5","0","2023-03-21T17:26:27+00:00"
"26","655","142","2","12","","","true","false","false","false","723","399","5","0","2023-03-22T14:29:14+00:00"
"27","655","156","2","20","","","true","false","false","false","724","399","5","0","2023-03-22T14:29:14+00:00"
